herätä,to wake up, Jaana _ kello 7., herää
maanantai,monday, Koullu alkaa _., maanantaina
aamu,morning, Jaana herää maanantai_ kello 7 ja käy suihkussa., aamuna
käydä,to visit, _ usein kaupassa ostamassa tuoreita vihanneksia., Käyn
suihku,shower, Hän kävi nopeasti _ ennen juhlia., suihkussa
laulaa,to sing, Hän _ koska hän on hyvällä tuulella., laulaa
luento,lecture, Minulla on matematiikan _
yliopisto,university, Hän matkustaa _ aina bussilla., yliopistolle
seisoa,to stand, Hän _ bussipysäkillä kello 9.15., seisoo
bussipysäkki,bus stop, Hän seisoo _ kello 9.15., bussipysäkillä
odottaa,to wait, _ bussia bussipysäkillä joka päivä töiden jälkeen., Odotan
-
ajaa,to drive, Minna ei _ autoa., aja
matkustaa,to travel, Hän _ yliopistolle aina bussilla., matkustaa
aina,always, Hän matkustaa yliopistolle _ bussilla.
istua,to sit, Jaana _ luentosalissa pari tuntia., istuu
luentosali,lecture hall, Jaana istuu _ pari tuntia., luentosalissa
tunti,hour, Jaana istuu luentosalissa pari _., tuntia
mennä,to go, Hän _ yliopiston ravintolaan., menee
ravintola,restaurant, Hän menee yliopiston _.,ravintolaan
maksaa,to pay, Hän _ lounaan kassalla.
lounas,lunch, Hän maksaa _ kassalla., lounaan
-
kassa,cash desk, Hän maksaa lounaan _., kassalla
opiskelukevari,classmate, Syö _ Lauran kanssa keittoa., opiskelukevarinsa
kansaa,with, Syö opiskelukaverinsa Lauran _ keittoa., kanssa
syödä,to eat, _ opiskelukaverinsa Lauran kanssa keittoa., Syö
keitto,soup, Syö opiskelukaverinsa Lauran kanssa _., keittoa
nauraa,to laugh, He _ ja puhuvat paljon., nauravat
heilla,they have, _ on hauskaa., Heilla
hauska,fun, Heillsa on _, hauskaa
toinen,second/another, Minnalla on _ luento.
lähteä,to leave, Me _ luennolta kesken kaiken koska tuli tärkeä puhelu, lähdimme
kotiin,home
-
maito,milk, Hän ostaa _ leipää ja jäätelöä, maitoa
leipä,bread, Hän ostaa maitoa _ ja jäätelöä, leipää
jäätelo,ice cream, Hän ostaa maitoa leipää ja _, jääteloä
saunoa,to go to sauna, Illalla hän _., saunoo
rakastaa,to love, Jaana _ suklaajäätelöä se on tosi hyvää!, rakastaa
suklaa,chocolate, Jaana rakastaa _jäätelöä se on tosi hyvää!
elokuva,movie, _ on vähän surullinen., Elokuva
surullinen,sad, Elokuva on vähän _., surullinen
iloinen,happy, Olen _ siitä että pääsit perille turvallisesti
itkeä,to cry, Elokuva on vähän surullinen mutta Jaana ei _., itke
mukava,nice, Hänellä oli tänään päivä.
