vuokra,rent,paljonko maksat asunnostasi _?,vuokraa
vessa,toilet,mennä _,vessaan
kylpyhuone,bathroom,lähden _,kylpyhuoneesta
rivitalo,semi-detached house,asut _,rivitalossa
nojatuoli,armchair,istun _,nojatuolissa
pöytä,table,Ota kuppi _,pöydältä
sänky,bed,mennä _,sänkyyn
vaate,clothe,ostaa uusia _ kesäksi,vaatteita
erota,to separate,_ portilla,erosimme
kuulla,to hear,puhu kovempaa en _!,kuule
matala,low,en ylety niin _,matalalle
-
viihtyisä,comfortable,_ koti,viihtyisä
huono,bad,Minulla on _ olo.
leveä,wide,kaksi metriä _ käytävä
kapea,narrow,_ katu
ahdas,cramped,_ asunto
avara,expansive,ulos _ maailmaan,avaraan
piha,yard,koulun _
varasto,store house,muutama viinipullo _,varastossa
seinä,wall,_ on kolme taulua.,Seinällämme
katto,ceiling / roof,asua saman _ alla,katon,
lattia,floor,istua _,lattialla
-
ikkuna,window,katsoa ulos _,ikkunasta
ovi,door,avata _
parveke,balcony,savustan _,parvekkeella
pakastin,freezer,Ostin _ täyteen pizzoja.,pakastimen
hella,stove,ruoka kiehui _,hellalle
hana,sink,kääntää _ auki
verhot,curtains,Suljin _ estääkseni kirkkaan aamuauringon
matto,carpet,Laitoin uuden _ olohuoneen lattialle.,maton
taulu,picture,ripustaa _ seinälle
naulakko,coat rack,ripustaa takkinsa _,naulakkoon
ämpäri,bucket,Täytin _ kylmällä vedellä.,ämpärin
