juna,train,matkustaa _ Kuopioon,junalla
matkustaa,to travel,_ ensi viikolla työasioissa Roomaan,matkustan
ystävä,friend,hän on hyvä _, ystäväni
siellä,there,en haluaisi asua _, siellä
tuntea,to feel,_ nälkää,tunnen
lippu,ticket,ostaa konserttiin _
netti,the internet,surfailla _, netissä
lähteä,to leave,_ työpaikalta,lähden
kestää,to take time,_ kaksi vuotta saada talo valmiiksi.,Kesti
saapua,to arrive,Vieraat alkavat _.
-
asema,station,Jään pois seuraavalla _.,asemalla.
käytävä,corridor,_ päässä,käytävän
vaunu,wagon,kolmannessa _ edestä (perästä) laskien,vaunussa
neuloa,to sew,_ nappi kiinni
lauku,bag,Anna laittaa _ hyllylle.,laukut
alas,down,tulla _
tavata,to meet,Harvoin _ niin mukavaa ihmistä.,tapaa
liian,too much,_ korkeat hinnat
jäädä,to stay,_ kaupunkiin kesäksi,jään
luota,from,lähteä jonkun _ kotoa
luona,at,asun jonkun _
-
pari,pair,työskennellä _,pareina
laittaa,prepare,_ aamiaista,laittan
sukka,sock,minulla on _ jalassa,sukat
shelf,shelf,kirjat ovat _,hyllyllä
vieressä,next to,hän istui _,viereeni
teidän,your,Onko hän _ ystäviänne?
ennen,previously,Pietari oli _ Leningrad
takaisin,back,mennä _ kotiin
